Null,ADANA,ADIYAMAN,AFYONKARAHİSAR,AĞRI,AMASYA,ANKARA,ANTALYA,ARTVİN,AYDIN,BALIKESİR,BİLECİK,BİNGÖL,BİTLİS,BOLU,BURDUR,BURSA,ÇANAKKALE,ÇANKIRI,ÇORUM,DENİZLİ,DİYARBAKIR,EDİRNE,ELAZIĞ,ERZİNCAN,ERZURUM,ESKİŞEHİR,GAZİANTEP,GİRESUN,GÜMÜŞHANE,HAKKARİ,HATAY,ISPARTA,MERSİN,İSTANBUL,İZMİR,KARS,KASTAMONU,KAYSERİ,KIRKLARELİ,KIRŞEHİR,KOCAELİ (İZMİT),KONYA,KÜTAHYA,MALATYA,MANİSA,KAHRAMANMARAŞ,MARDİN,MUĞLA,MUŞ,NEVŞEHİR,NİĞDE,ORDU,RİZE,SAKARYA (ADAPAZARI),SAMSUN,SİİRT,SİNOP,SİVAS,TEKİRDAĞ,TOKAT,TRABZON,TUNCELİ,ŞANLIURFA,UŞAK,VAN,YOZGAT,ZONGULDAK,AKSARAY,BAYBURT,KARAMAN,KIRIKKALE,BATMAN,ŞIRNAK,BARTIN,ARDAHAN,IĞDIR,YALOVA,KARABÜK,KİLİS,OSMANİYE,DÜZCE
ADANA,,335,572,966,604,489,540,1036,879,900,770,634,732,687,662,839,1098,575,578,758,525,1174,494,671,810,687,212,719,777,909,191,614,69,944,898,1014,681,332,1155,374,834,355,672,396,882,192,537,851,743,286,204,709,918,797,721,708,844,423,1075,492,843,628,349,687,895,486,764,264,799,289,474,621,720,779,1043,1069,899,711,246,87,732
ADIYAMAN,335,,907,648,635,746,875,757,1214,1235,1048,351,414,940,997,1117,1388,776,699,1093,207,1431,285,550,531,965,150,711,683,665,316,949,404,1201,1233,735,882,427,1412,562,1091,690,1007,187,1217,163,298,1186,464,508,539,727,859,1054,752,390,893,415,1332,523,784,419,112,1022,577,624,1017,583,656,624,675,303,476,1032,764,751,1156,964,210,248,985
AFYONKARAHİSAR,572,907,,1318,597,256,291,1244,345,328,212,1095,1287,420,169,277,526,398,505,222,1097,683,955,948,1138,144,784,872,1015,1481,763,168,565,453,326,1339,504,521,664,426,343,223,100,857,310,764,1109,367,1204,440,459,828,1083,306,677,1280,676,703,584,643,1008,1079,921,115,1422,479,488,365,1037,336,339,1193,1292,515,1353,1430,341,447,818,659,375
AĞRI,966,648,1318,,736,1054,1428,396,1640,1570,1358,358,234,1145,1423,1419,1690,984,828,1517,441,1636,496,370,183,1295,754,546,383,432,947,1373,1035,1406,1640,215,990,812,1617,943,1296,1114,1373,592,1624,811,518,1662,245,891,938,590,549,1259,741,331,896,618,1537,675,484,423,617,1429,230,842,1206,966,305,1114,979,369,417,1173,309,143,1361,1104,814,879,1190
AMASYA,604,635,597,736,,333,825,694,938,834,622,639,831,409,762,683,954,248,92,815,659,900,506,366,556,574,587,322,433,1121,684,719,636,670,919,757,254,346,881,312,560,511,652,466,903,511,754,960,748,361,439,278,533,523,131,846,258,220,801,114,458,497,719,708,966,200,470,422,455,615,258,759,932,437,781,848,625,368,647,616,454
ANKARA,489,746,256,1054,333,,543,980,597,536,316,867,1059,191,421,385,656,131,241,474,878,682,725,684,874,233,659,608,751,1340,680,420,482,452,578,1075,237,319,663,184,342,258,311,655,562,583,973,619,976,276,347,564,819,305,413,1065,409,439,583,379,744,815,796,367,1194,215,268,225,773,369,75,978,1151,283,1089,1166,407,215,719,576,236
ANTALYA,540,875,291,1428,825,543,,1466,339,507,475,1174,1272,683,122,540,702,668,733,220,1065,910,1034,1058,1248,423,752,1100,1164,1449,731,130,471,716,444,1449,774,618,927,572,606,322,363,936,428,732,1077,311,1283,537,544,1056,1305,569,905,1248,946,810,847,871,1230,1168,889,294,1435,684,751,462,1186,374,567,1161,1260,802,1473,1540,604,734,786,627,638
ARTVİN,1036,757,1244,396,694,980,1466,,1585,1464,1252,406,562,1039,1409,1313,1584,895,739,1462,550,1530,544,408,226,1221,863,372,337,769,1017,1366,1105,1300,1566,208,857,850,1511,950,1190,1152,1299,640,1550,864,645,1607,479,929,976,416,161,1153,567,659,722,656,1431,633,236,461,726,1355,567,838,1073,1004,343,1152,905,603,745,1040,117,342,1255,971,923,949,1084
AYDIN,879,1214,345,1640,938,597,339,1585,,296,520,1404,1596,719,269,445,452,739,846,126,1404,660,1264,1270,1460,477,1091,1213,1356,1788,1070,288,810,683,126,1661,845,830,677,767,573,532,408,1166,155,1071,1416,99,1513,749,768,1169,1424,605,1018,1587,1017,1022,631,984,1349,1398,1228,273,1731,820,787,674,1378,641,680,1500,1599,856,1685,1752,510,788,1125,966,674
BALIKESİR,900,1235,328,1570,834,536,507,1464,296,,246,1411,1603,425,395,151,198,658,777,287,1422,406,1269,1200,1390,303,1112,1092,1255,1809,1091,394,893,389,176,1591,670,841,423,706,279,551,228,1177,141,1092,1437,395,1520,768,787,1048,1303,311,897,1608,842,983,377,923,1228,1331,1249,223,1738,759,493,693,1289,664,619,1521,1620,582,1573,1682,216,559,1146,987,380
